comparison,k1_true,k2_true,noise,metric,n,median,ci_low,ci_high
oracle k1 - sequential,0.008,0.0,0,distortion_psnr,4,20.85368484422769,20.418120892184817,25.163513667088566
oracle k1 - sequential,0.008,0.0,0,distortion_ssim,4,0.0027558140880573068,0.001708261001241107,0.005607227504776935
oracle k1 - sequential,0.008,0.0,0,distortion_ncc,4,0.0006145262201144863,0.0004718496119249238,0.0015021601455605937
oracle k1 - sequential,0.008,0.0,0,distortion_mse,4,-41519.76119834511,-105435.99925001756,-22674.470053600446
oracle k1 - sequential,0.008,0.0,0,distortion_coverage_fraction,4,0.0,0.0,0.0
oracle k1 - sequential,0.008,0.0,0,time_s,4,-287.79999999999995,-389.11999999999995,-105.0
oracle k1 - sequential,0.008,0.0,0,iterations,4,0.0,0.0,0.0
oracle k1 - sequential,0.008,0.0,10,k1_err,8,-0.0056042412592759005,-0.005743928635086328,-0.005212359827298079
oracle k1 - sequential,0.008,0.0,10,k1_signed,8,0.0056042412592759005,0.005212359827298079,0.005743928635086328
oracle k1 - sequential,0.008,0.0,10,pos_rmse,8,-9.180280436333746,-9.814954576223638,-8.595864638818417
oracle k1 - sequential,0.008,0.0,10,pos_mae,8,-5.027777777777778,-5.388888888888889,-4.722222222222222
oracle k1 - sequential,0.008,0.0,10,pos_max,8,-10.5,-11.0,-10.0
oracle k1 - sequential,0.008,0.0,10,seam_true,8,-0.005184607020405938,-0.00702787071440868,-0.0035432699141589186
oracle k1 - sequential,0.008,0.0,10,seam_est,8,-0.0013792870585153437,-0.0018785715735129913,-0.0010692532918798565
oracle k1 - sequential,0.008,0.0,10,psnr,8,36.227387093304955,34.51258392952203,37.0013293808445
oracle k1 - sequential,0.008,0.0,10,ssim,8,0.022077988201012755,0.016405708099437866,0.026774039331920796
oracle k1 - sequential,0.008,0.0,10,ncc,8,0.018144301924266693,0.013132091478377128,0.029101252742189554
oracle k1 - sequential,0.008,0.0,10,mse,8,-1053844.2324162181,-1893378.1706949847,-929648.2521302901
oracle k1 - sequential,0.008,0.0,10,coverage_fraction,8,0.0,0.0,0.0
oracle k1 - sequential,0.008,0.0,10,distortion_psnr,8,20.906685730472567,20.317371840454015,25.163513667088566
oracle k1 - sequential,0.008,0.0,10,distortion_ssim,8,0.002756585269474421,0.001708261001241107,0.005607227504776935
oracle k1 - sequential,0.008,0.0,10,distortion_ncc,8,0.0006176571066586756,0.0004718496119249238,0.0015021601455605937
oracle k1 - sequential,0.008,0.0,10,distortion_mse,8,-41691.4633887229,-105435.99925001756,-22674.470053600446
oracle k1 - sequential,0.008,0.0,10,distortion_coverage_fraction,8,0.0,0.0,0.0
oracle k1 - sequential,0.008,0.0,10,time_s,8,-333.83000000000004,-410.12,-208.23000000000002
oracle k1 - sequential,0.008,0.0,10,iterations,8,0.0,0.0,0.0
