case,crop_id,seed,k1_true,k2_true,noise,method,status,protocol_version,mi_quantization,warp_backend,k1_err,k1_signed,pos_rmse,pos_mae,pos_max,seam_true,seam_est,psnr,ssim,ncc,mse,coverage_fraction,distortion_psnr,distortion_ssim,distortion_ncc,distortion_mse,distortion_coverage_fraction,time_s,iterations,pre_rmse,pre_mae,at_bound
c0_s2026_k1_p0.0080_noise_10,0,2026,0.008,0.0,10,sequential_paper_matched,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.005212359827298079,-0.005212359827298079,8.595864638818417,4.722222222222222,10.0,0.003635694439466398,0.0011616778171873357,36.545643720229826,0.9835539240915946,0.9802053264528301,951441.8175365205,1.0,52.73706227456139,0.9982513711897913,0.9995241066184712,22868.642223709274,1.0,521.69,1,12.556538801224908,6.944444444444445,False
c0_s2026_k1_p0.0080_noise_10,0,2026,0.008,0.0,10,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.003390130054998627,-0.003390130054998627,7.086763875156433,3.888888888888889,8.0,0.0025417164209293416,0.0011818800926700146,38.034800296052836,0.9867607579911944,0.9859448831613833,675253.0864281068,1.0,55.9907416358049,0.9990035034971713,0.9997749635169664,10811.163714223194,1.0,544.36,25,12.556538801224908,6.944444444444445,False
c0_s2027_k1_m0.0080_noise_10,0,2027,-0.008,0.0,10,sequential_paper_matched,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.005380202677150277,0.005380202677150277,8.787617550976046,4.833333333333333,10.0,0.0038744456879953415,0.001443392579896437,35.33007720027733,0.978173034694091,0.9737716427453502,1258748.2723965724,0.9925606922706727,52.19555492550589,0.9980912104000337,0.9994603343350437,25905.44846233631,1.0,599.92,1,12.978614889287858,7.222222222222222,False
c0_s2027_k1_m0.0080_noise_10,0,2027,-0.008,0.0,10,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.002597055028602099,0.002597055028602099,5.5677643628300215,3.1666666666666665,6.0,0.0021274187366256488,0.0011079303571138524,38.59295109173856,0.9873174043252968,0.9876330349524155,593815.457377481,0.9952032785224313,57.689346402680584,0.9992781803329702,0.9998477180710463,7311.592307664493,1.0,614.15,25,12.978614889287858,7.222222222222222,False
c0_s2027_k1_p0.0000_noise_10,0,2027,0.0,0.0,10,sequential_paper_matched,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,1.0626767011106717e-06,-1.0626767011106717e-06,0.0,0.0,0.0,1.4180881870856693e-07,1.4180881870856693e-07,127.00315891753027,0.9999999999069601,0.9999999999821862,0.0008563094085396322,1.0,127.00315891753027,0.9999999999069601,0.9999999999821862,0.0008563094085396322,1.0,562.24,1,0.0,0.0,False
c0_s2027_k1_p0.0000_noise_10,0,2027,0.0,0.0,10,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,4.917672419540378e-07,-4.917672419540378e-07,0.0,0.0,0.0,1.4737637048234438e-09,1.4737637048234438e-09,143.17229566012776,0.9999999999978653,0.9999999999995709,2.0687930165031398e-05,1.0,143.17229566012776,0.9999999999978653,0.9999999999995709,2.0687930165031398e-05,1.0,588.0,25,0.0,0.0,False
c0_s2027_k1_p0.0080_noise_10,0,2027,0.008,0.0,10,sequential_paper_matched,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.005212359827298079,-0.005212359827298079,8.595864638818417,4.722222222222222,10.0,0.003635694439466398,0.0011616778171873357,36.545643720229826,0.9835539240915946,0.9802053264528301,951441.8175365205,1.0,52.73706227456139,0.9982513711897913,0.9995241066184712,22868.642223709274,1.0,570.21,1,12.556538801224908,6.944444444444445,False
c0_s2027_k1_p0.0080_noise_10,0,2027,0.008,0.0,10,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.003390130054998627,-0.003390130054998627,7.086763875156433,3.888888888888889,8.0,0.0025417164209293416,0.0011818800926700146,38.034800296052836,0.9867607579911944,0.9859448831613833,675253.0864281068,1.0,55.9907416358049,0.9990035034971713,0.9997749635169664,10811.163714223194,1.0,609.52,25,12.556538801224908,6.944444444444445,False
c1_s2026_k1_m0.0080_noise_00,1,2026,-0.008,0.0,0,sequential_paper_matched,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.005679854765071393,0.005679854765071393,10.23067283548187,5.666666666666667,11.0,0.007401985903797317,0.0021326329836589483,30.995946681521353,0.9680458837105135,0.9479007398723731,3414695.163076675,0.9916714350846572,49.20792579593354,0.9969088876938884,0.9992106584246335,51541.14092338292,1.0,571.39,1,14.247806848775006,7.833333333333333,False
c1_s2026_k1_m0.0080_noise_00,1,2026,-0.008,0.0,0,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.0025289784637208155,0.0025289784637208155,5.773502691896258,3.2222222222222223,7.0,0.003618775086296616,0.001781680900448858,34.66293391022587,0.9827564864046748,0.977573383201775,1467753.8103844444,0.9953322272906252,55.354974968929255,0.9988960839602706,0.9998083360271848,12515.526111495927,1.0,610.95,25,14.247806848775006,7.833333333333333,False
c1_s2026_k1_m0.0080_noise_10,1,2026,-0.008,0.0,10,sequential_paper_matched,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.006097152142422469,0.006097152142422469,10.954451150103322,6.0,12.0,0.00790347592475332,0.0023530478899264798,30.52384527671456,0.9655495434132232,0.9419407265159341,3806817.69947224,0.9909160198120571,48.68028201078167,0.9966632075712113,0.9991087019367266,58199.3864769081,1.0,601.7,1,14.487542541400487,7.944444444444445,False
c1_s2026_k1_m0.0080_noise_10,1,2026,-0.008,0.0,10,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.0027320694186969323,0.0027320694186969323,5.32290647422377,2.9444444444444446,6.0,0.0038655736850761457,0.0016595163729201806,35.08949109927379,0.9839153869520676,0.9796699096953154,1330446.7519460975,0.9955817776969289,54.770956905531776,0.9987692321212274,0.9997807483046507,14316.963474191034,1.0,626.84,25,14.487542541400487,7.944444444444445,False
c1_s2026_k1_p0.0000_noise_00,1,2026,0.0,0.0,0,sequential_paper_matched,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,1.2767622049877437e-06,-1.2767622049877437e-06,0.0,0.0,0.0,7.820226888520549e-07,7.820226888520549e-07,121.7981077495921,0.9999999997065905,0.9999999999565375,0.002838806771997854,1.0,121.7981077495921,0.9999999997065905,0.9999999999565375,0.002838806771997854,1.0,615.81,1,0.0,0.0,False
c1_s2026_k1_p0.0000_noise_00,1,2026,0.0,0.0,0,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,1.0675245962478611e-06,-1.0675245962478611e-06,0.0,0.0,0.0,4.953483563434353e-07,4.953483563434353e-07,124.43823028852916,0.9999999998402788,0.9999999999763487,0.001545694204904198,1.0,124.43823028852916,0.9999999998402788,0.9999999999763487,0.001545694204904198,1.0,632.24,25,0.0,0.0,False
c1_s2026_k1_p0.0000_noise_10,1,2026,0.0,0.0,10,sequential_paper_matched,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,1.2767622049877437e-06,-1.2767622049877437e-06,0.0,0.0,0.0,7.820226888520549e-07,7.820226888520549e-07,121.7981077495921,0.9999999997065905,0.9999999999565375,0.002838806771997854,1.0,121.7981077495921,0.9999999997065905,0.9999999999565375,0.002838806771997854,1.0,648.25,1,0.0,0.0,False
c1_s2026_k1_p0.0000_noise_10,1,2026,0.0,0.0,10,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,1.0675245962478611e-06,-1.0675245962478611e-06,0.0,0.0,0.0,4.953483563434353e-07,4.953483563434353e-07,124.43823028852916,0.9999999998402788,0.9999999999763487,0.001545694204904198,1.0,124.43823028852916,0.9999999998402788,0.9999999999763487,0.001545694204904198,1.0,653.24,25,0.0,0.0,False
c1_s2026_k1_p0.0080_noise_00,1,2026,0.008,0.0,0,sequential_paper_matched,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.0056622617132164235,-0.0056622617132164235,9.504384952922168,5.166666666666667,11.0,0.007063008516162127,0.0020238389196411146,33.78290921293087,0.9774593640822704,0.9723737616094235,1797445.3143450306,1.0,49.560719714721074,0.9970792222123586,0.9992722008433235,47519.803493491614,1.0,607.67,1,14.204850501775011,7.888888888888889,False
c1_s2026_k1_p0.0080_noise_00,1,2026,0.008,0.0,0,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.003451685610125049,-0.003451685610125049,7.593857166596345,4.277777777777778,9.0,0.004513825899136468,0.002248910857032204,35.58568240397912,0.9821910062081693,0.9817802578796772,1186802.2667500556,0.9997495860974807,53.32404208764408,0.998396303917012,0.9996940531065766,19977.55793361614,1.0,631.38,25,14.204850501775011,7.888888888888889,False
c1_s2026_k1_p0.0080_noise_10,1,2026,0.008,0.0,10,sequential_paper_matched,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.00593531756540272,-0.00593531756540272,10.837178804672572,5.944444444444445,12.0,0.007378284672144823,0.002344000419741123,32.7890344589813,0.9739334887942879,0.9652522868703675,2259660.3316332903,1.0,49.21254333616517,0.9969280759186065,0.9992114386965149,51486.370064903254,1.0,641.53,1,14.071247279470288,7.777777777777778,False
c1_s2026_k1_p0.0080_noise_10,1,2026,0.008,0.0,10,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.0035282015752797855,-0.0035282015752797855,7.187952884282608,3.9444444444444446,8.0,0.004595505486191284,0.00207581659738513,36.08662113275954,0.9831810756875967,0.9837660561388251,1057510.0278157427,1.0,53.157700681124695,0.9983491837835677,0.9996821072780577,20757.57135094415,1.0,675.74,25,14.071247279470288,7.777777777777778,False
c1_s2027_k1_m0.0080_noise_10,1,2027,-0.008,0.0,10,sequential_paper_matched,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.005679854765071393,0.005679854765071393,10.23067283548187,5.666666666666667,11.0,0.007401985903797317,0.0021326329836589483,30.995946681521353,0.9680458837105135,0.9479007398723731,3414695.163076675,0.9916714350846572,49.20792579593354,0.9969088876938884,0.9992106584246335,51541.14092338292,1.0,704.3,1,14.247806848775006,7.833333333333333,False
c1_s2027_k1_m0.0080_noise_10,1,2027,-0.008,0.0,10,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.0025289784637208155,0.0025289784637208155,5.773502691896258,3.2222222222222223,7.0,0.003618775086296616,0.001781680900448858,34.66293391022587,0.9827564864046748,0.977573383201775,1467753.8103844444,0.9953322272906252,55.354974968929255,0.9988960839602706,0.9998083360271848,12515.526111495927,1.0,708.26,25,14.247806848775006,7.833333333333333,False
c1_s2027_k1_p0.0000_noise_10,1,2027,0.0,0.0,10,sequential_paper_matched,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,1.2767622049877437e-06,-1.2767622049877437e-06,0.0,0.0,0.0,7.820226888520549e-07,7.820226888520549e-07,121.7981077495921,0.9999999997065905,0.9999999999565375,0.002838806771997854,1.0,121.7981077495921,0.9999999997065905,0.9999999999565375,0.002838806771997854,1.0,705.08,1,0.0,0.0,False
c1_s2027_k1_p0.0000_noise_10,1,2027,0.0,0.0,10,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,1.0675245962478611e-06,-1.0675245962478611e-06,0.0,0.0,0.0,4.953483563434353e-07,4.953483563434353e-07,124.43823028852916,0.9999999998402788,0.9999999999763487,0.001545694204904198,1.0,124.43823028852916,0.9999999998402788,0.9999999999763487,0.001545694204904198,1.0,723.83,25,0.0,0.0,False
c1_s2027_k1_p0.0080_noise_10,1,2027,0.008,0.0,10,sequential_paper_matched,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.005743928635086328,-0.005743928635086328,9.814954576223638,5.388888888888889,11.0,0.007157806128537417,0.0020085069876417277,33.55622606565672,0.9764745358729372,0.9708929625656295,1893755.9090310128,1.0,49.45471794223132,0.9970337086678686,0.999254215820323,48693.92845451735,1.0,722.05,1,13.824294235551815,7.666666666666667,False
