case,crop_id,seed,k1_true,k2_true,noise,method,status,protocol_version,mi_quantization,warp_backend,k1_err,k1_signed,pos_rmse,pos_mae,pos_max,seam_true,seam_est,psnr,ssim,ncc,mse,coverage_fraction,distortion_psnr,distortion_ssim,distortion_ncc,distortion_mse,distortion_coverage_fraction,time_s,iterations,pre_rmse,pre_mae,at_bound
c0_s2026_k1_m0.0080_noise_00,0,2026,-0.008,0.0,0,dcs_paper_no_prestitch,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.003199264415275704,0.003199264415275704,7.32575365861197,4.055555555555555,8.0,0.0025177757299667345,0.0014009156626205485,36.820351651814214,0.9828492511717971,0.9813962849461861,893123.3470186531,0.9940683566630822,56.12401838211281,0.9990301061774878,0.9997816258118395,10484.428669186109,1.0,659.05,25,0.0,0.0,False
c0_s2026_k1_m0.0080_noise_00,0,2026,-0.008,0.0,0,sequential_paper_no_prestitch,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,1.2453783209962974e-05,1.2453783209962974e-05,0.0,0.0,0.0,0.00010392151972032951,0.00010392151972032951,73.0109037147069,0.9999549442465105,0.9999955302212692,214.71195982555074,1.0,73.0109037147069,0.9999549442465105,0.9999955302212692,214.71195982555074,1.0,25.95,1,0.0,0.0,False
c0_s2026_k1_m0.0080_noise_00,0,2026,-0.008,0.0,0,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.002597055028602099,0.002597055028602099,5.5677643628300215,3.1666666666666665,6.0,0.0021274187366256488,0.0011079303571138524,38.59295109173856,0.9873174043252968,0.9876330349524155,593815.457377481,0.9952032785224313,57.689346402680584,0.9992781803329702,0.9998477180710463,7311.592307664493,1.0,898.45,25,12.978614889287858,7.222222222222222,False
c0_s2026_k1_m0.0080_noise_10,0,2026,-0.008,0.0,10,dcs_paper_no_prestitch,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.002724380738753208,0.002724380738753208,5.70574758954123,3.2777777777777777,7.0,0.0022118048088486117,0.0010378206988077875,38.43618674473423,0.9869903373445729,0.9871786442134328,615641.5643539184,0.9950828208003574,57.327752643502905,0.9992265038686057,0.999834494276104,7946.4168466096835,1.0,679.67,25,7.401201103724839,4.388888888888889,False
c0_s2026_k1_m0.0080_noise_10,0,2026,-0.008,0.0,10,sequential_paper_no_prestitch,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.0009294243108788599,0.0009294243108788599,1.8257418583505538,1.0,2.0,0.0008811103182044044,0.0002993777268437278,46.0757802084122,0.9964036307243127,0.9977924242111803,106015.30977571441,0.9984831249812909,65.48967658976106,0.9998459862714728,0.9999747311218256,1213.3300356023087,1.0,25.11,1,7.401201103724839,4.388888888888889,False
c0_s2026_k1_m0.0080_noise_10,0,2026,-0.008,0.0,10,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.002597055028602099,0.002597055028602099,5.5677643628300215,3.1666666666666665,6.0,0.0021274187366256488,0.0011079303571138524,38.59295109173856,0.9873174043252968,0.9876330349524155,593815.457377481,0.9952032785224313,57.689346402680584,0.9992781803329702,0.9998477180710463,7311.592307664493,1.0,1233.34,25,12.978614889287858,7.222222222222222,False
c0_s2026_k1_p0.0000_noise_00,0,2026,0.0,0.0,0,dcs_paper_no_prestitch,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,4.917672419540378e-07,-4.917672419540378e-07,0.0,0.0,0.0,1.4737637048234438e-09,1.4737637048234438e-09,143.17229566012776,0.9999999999978653,0.9999999999995709,2.0687930165031398e-05,1.0,143.17229566012776,0.9999999999978653,0.9999999999995709,2.0687930165031398e-05,1.0,605.75,25,0.0,0.0,False
c0_s2026_k1_p0.0000_noise_00,0,2026,0.0,0.0,0,sequential_paper_no_prestitch,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,1.0626767011106717e-06,-1.0626767011106717e-06,0.0,0.0,0.0,1.4180881870856693e-07,1.4180881870856693e-07,127.00315891753027,0.9999999999069601,0.9999999999821862,0.0008563094085396322,1.0,127.00315891753027,0.9999999999069601,0.9999999999821862,0.0008563094085396322,1.0,25.67,1,0.0,0.0,False
c0_s2026_k1_p0.0000_noise_00,0,2026,0.0,0.0,0,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,4.917672419540378e-07,-4.917672419540378e-07,0.0,0.0,0.0,1.4737637048234438e-09,1.4737637048234438e-09,143.17229566012776,0.9999999999978653,0.9999999999995709,2.0687930165031398e-05,1.0,143.17229566012776,0.9999999999978653,0.9999999999995709,2.0687930165031398e-05,1.0,817.7,25,0.0,0.0,False
c0_s2026_k1_p0.0000_noise_10,0,2026,0.0,0.0,10,dcs_paper_no_prestitch,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,5.18905898541407e-05,-5.18905898541407e-05,1.2018504251546631,0.6111111111111112,2.0,6.343548406592008e-05,0.001409119721048613,49.51240529141892,0.9981192718061209,0.9989992164248211,48051.403632056375,0.9996281209631552,89.14361023648488,0.9999995881169856,0.9999998910916735,5.231010404985482,1.0,683.11,25,7.401201103724839,4.388888888888889,False
