comparison,k1_true,k2_true,noise,metric,n,median,ci_low,ci_high
paper-style no-pre - sequential no-pre,0.0,0.0,0,psnr,4,8.155522936077105,2.6401225389370495,16.169136742597487
paper-style no-pre - sequential no-pre,0.0,0.0,0,ssim,4,1.1229672747248287e-10,5.1002868595162454e-11,3.7005376540832913e-10
paper-style no-pre - sequential no-pre,0.0,0.0,0,ncc,4,1.859790099700831e-11,7.41606775989112e-12,8.459366540591873e-11
paper-style no-pre - sequential no-pre,0.0,0.0,0,mse,4,-0.0010643670227341283,-0.005947636006410596,-0.0005246189247284592
paper-style no-pre - sequential no-pre,0.0,0.0,0,coverage_fraction,4,0.0,0.0,0.0
paper-style no-pre - sequential no-pre,0.0,0.0,0,distortion_psnr,4,8.155522936077105,2.6401225389370495,16.169136742597487
paper-style no-pre - sequential no-pre,0.0,0.0,0,distortion_ssim,4,1.1229672747248287e-10,5.1002868595162454e-11,3.7005376540832913e-10
paper-style no-pre - sequential no-pre,0.0,0.0,0,distortion_ncc,4,1.859790099700831e-11,7.41606775989112e-12,8.459366540591873e-11
paper-style no-pre - sequential no-pre,0.0,0.0,0,distortion_mse,4,-0.0010643670227341283,-0.005947636006410596,-0.0005246189247284592
paper-style no-pre - sequential no-pre,0.0,0.0,0,distortion_coverage_fraction,4,0.0,0.0,0.0
paper-style no-pre - sequential no-pre,0.0,0.0,0,time_s,4,679.185,580.08,743.53
paper-style no-pre - sequential no-pre,0.0,0.0,0,iterations,4,24.0,24.0,24.0
paper-style no-pre - sequential no-pre,0.0,0.0,10,k1_err,8,-0.0012977893100623327,-0.0022295643926034275,-0.0006680345955433663
paper-style no-pre - sequential no-pre,0.0,0.0,10,k1_signed,8,-0.0003299924590274134,-0.0013435443464831875,0.0017512772820607815
paper-style no-pre - sequential no-pre,0.0,0.0,10,pos_rmse,8,-1.4600271209247302,-2.904178795704612,-0.41289550389312657
paper-style no-pre - sequential no-pre,0.0,0.0,10,pos_mae,8,-0.8333333333333333,-1.611111111111111,-0.25
paper-style no-pre - sequential no-pre,0.0,0.0,10,pos_max,8,-1.5,-3.0,-0.5
paper-style no-pre - sequential no-pre,0.0,0.0,10,seam_true,8,-0.0015221623778090506,-0.002457604468755476,-0.000865745976786654
paper-style no-pre - sequential no-pre,0.0,0.0,10,seam_est,8,0.0010397474476005243,0.0008602594897025611,0.001233946086208052
