comparison,k1_true,k2_true,noise,metric,n,median,ci_low,ci_high
sequential bound 0.010 - 0.015,0.008,0.0,0,seam_est,4,3.2383284510213e-05,-6.827773469068182e-05,0.0001279535015503517
sequential bound 0.010 - 0.015,0.008,0.0,0,psnr,4,0.014716059300248219,-0.32356990412686315,0.40146368846516367
sequential bound 0.010 - 0.015,0.008,0.0,0,ssim,4,4.1804846163173703e-05,-0.0012872023429608692,0.0010350313071243455
sequential bound 0.010 - 0.015,0.008,0.0,0,ncc,4,7.527709902721558e-05,-0.0021349592634377634,0.0011027347938006304
sequential bound 0.010 - 0.015,0.008,0.0,0,mse,4,-2641.3937922820332,-78376.2994523563,139033.1727741335
sequential bound 0.010 - 0.015,0.008,0.0,0,coverage_fraction,4,0.0,0.0,0.0
sequential bound 0.010 - 0.015,0.008,0.0,0,distortion_psnr,4,-0.00010535630197239243,-0.00029662208324054973,0.00045776400286001717
sequential bound 0.010 - 0.015,0.008,0.0,0,distortion_ssim,4,-2.7545640879367284e-08,-1.3246721575210785e-07,4.3964414009334263e-07
sequential bound 0.010 - 0.015,0.008,0.0,0,distortion_ncc,4,-1.0715648146586432e-08,-3.492207656385915e-08,1.5898357330623725e-07
sequential bound 0.010 - 0.015,0.008,0.0,0,distortion_mse,4,0.47304900136077777,-11.14674301460036,2.474343719492026
sequential bound 0.010 - 0.015,0.008,0.0,0,distortion_coverage_fraction,4,0.0,0.0,0.0
sequential bound 0.010 - 0.015,0.008,0.0,0,time_s,4,-277.94,-377.88,-98.37
sequential bound 0.010 - 0.015,0.008,0.0,0,iterations,4,0.0,0.0,0.0
sequential bound 0.010 - 0.015,0.008,0.0,10,k1_err,8,2.4646454417284747e-08,-3.2949142870965925e-07,1.6740378452981958e-07
sequential bound 0.010 - 0.015,0.008,0.0,10,k1_signed,8,-2.4646454417284747e-08,-1.6740378452981958e-07,3.2949142870965925e-07
sequential bound 0.010 - 0.015,0.008,0.0,10,pos_rmse,8,-0.03524845016115563,-0.18283239169037913,0.060219435187400805
sequential bound 0.010 - 0.015,0.008,0.0,10,pos_mae,8,-0.02777777777777768,-0.1111111111111116,0.0
sequential bound 0.010 - 0.015,0.008,0.0,10,pos_max,8,0.0,0.0,1.0
sequential bound 0.010 - 0.015,0.008,0.0,10,seam_true,8,2.0851027231205688e-08,-2.582361513887507e-07,9.879675206452346e-08
sequential bound 0.010 - 0.015,0.008,0.0,10,seam_est,8,1.2951411598214474e-05,-3.818296011560583e-05,0.00010294952913603183
sequential bound 0.010 - 0.015,0.008,0.0,10,psnr,8,0.027577396906277585,-0.02285283733031207,0.15896250626713737
sequential bound 0.010 - 0.015,0.008,0.0,10,ssim,8,9.137528195102274e-05,-6.984647494234775e-05,0.00045679566992773424
sequential bound 0.010 - 0.015,0.008,0.0,10,ncc,8,0.0001229029552816674,-8.590234246308448e-05,0.0010474422818665952
sequential bound 0.010 - 0.015,0.008,0.0,10,mse,8,-6000.058500271465,-68062.90932433167,6102.999166222522
sequential bound 0.010 - 0.015,0.008,0.0,10,coverage_fraction,8,0.0,0.0,0.0
sequential bound 0.010 - 0.015,0.008,0.0,10,distortion_psnr,8,-3.180369446909026e-05,-0.00023951511373354606,0.00045776400286001717
sequential bound 0.010 - 0.015,0.008,0.0,10,distortion_ssim,8,-1.3981632296378166e-08,-6.644519023879525e-08,4.3964414009334263e-07
sequential bound 0.010 - 0.015,0.008,0.0,10,distortion_ncc,8,-3.659165526137542e-09,-2.6258800023271078e-08,1.5898357330623725e-07
sequential bound 0.010 - 0.015,0.008,0.0,10,distortion_mse,8,0.2592065516728326,-11.14674301460036,1.2612493858396192
sequential bound 0.010 - 0.015,0.008,0.0,10,distortion_coverage_fraction,8,0.0,0.0,0.0
sequential bound 0.010 - 0.015,0.008,0.0,10,time_s,8,-328.5250000000001,-397.43999999999994,-192.55
sequential bound 0.010 - 0.015,0.008,0.0,10,iterations,8,0.0,0.0,0.0
sequential bound 0.020 - 0.015,-0.008,0.0,0,k1_err,4,4.338172335128371e-07,-8.985789758976515e-09,7.907881677806858e-07
sequential bound 0.020 - 0.015,-0.008,0.0,0,k1_signed,4,4.338172335128371e-07,-8.985789758976515e-09,7.907881677806858e-07
sequential bound 0.020 - 0.015,-0.008,0.0,0,pos_rmse,4,0.0,-0.2521222278940911,0.4077919317797676
sequential bound 0.020 - 0.015,-0.008,0.0,0,pos_mae,4,0.0,-0.11111111111111072,0.22222222222222232
sequential bound 0.020 - 0.015,-0.008,0.0,0,pos_max,4,0.0,-1.0,0.0
sequential bound 0.020 - 0.015,-0.008,0.0,0,seam_true,4,3.9027446257339747e-07,-7.805489251472286e-09,6.917410159713866e-07
sequential bound 0.020 - 0.015,-0.008,0.0,0,seam_est,4,-8.249422101224606e-05,-0.00035132861040346685,3.1626882284960245e-09
sequential bound 0.020 - 0.015,-0.008,0.0,0,psnr,4,-4.669433424808744e-06,-0.23831792334929958,0.3095431501510575
sequential bound 0.020 - 0.015,-0.008,0.0,0,ssim,4,-3.12526380885636e-08,-0.000868317159285259,0.0007670433816078237
sequential bound 0.020 - 0.015,-0.008,0.0,0,ncc,4,-5.7568511402372735e-08,-0.0014772268014495715,0.0012287425905952443
sequential bound 0.020 - 0.015,-0.008,0.0,0,mse,4,3.7756601438159123,-86994.39074377366,71003.81225909339
sequential bound 0.020 - 0.015,-0.008,0.0,0,coverage_fraction,4,0.0,-0.00013355408134363422,0.00024897474216001303
sequential bound 0.020 - 0.015,-0.008,0.0,0,distortion_psnr,4,-0.0005935320107504083,-0.0010330190005092277,1.2163547268073671e-05
sequential bound 0.020 - 0.015,-0.008,0.0,0,distortion_ssim,4,-2.1656356108401553e-07,-4.6416275034655285e-07,1.162730378645449e-08
sequential bound 0.020 - 0.015,-0.008,0.0,0,distortion_ncc,4,-8.7688274308384e-08,-1.2422883666207696e-07,4.29401869617152e-09
sequential bound 0.020 - 0.015,-0.008,0.0,0,distortion_mse,4,4.969259431285536,-0.3037537187919952,8.775377560123161
sequential bound 0.020 - 0.015,-0.008,0.0,0,distortion_coverage_fraction,4,0.0,0.0,0.0
sequential bound 0.020 - 0.015,-0.008,0.0,0,time_s,4,-292.0,-462.53999999999996,-224.81000000000006
sequential bound 0.020 - 0.015,-0.008,0.0,0,iterations,4,0.0,0.0,0.0
sequential bound 0.020 - 0.015,-0.008,0.0,10,k1_err,8,4.7681680249815617e-07,-8.985789758976515e-09,7.907881677806858e-07
sequential bound 0.020 - 0.015,-0.008,0.0,10,k1_signed,8,4.7681680249815617e-07,-8.985789758976515e-09,7.907881677806858e-07
sequential bound 0.020 - 0.015,-0.008,0.0,10,pos_rmse,8,0.0,-0.2521222278940911,0.4077919317797676
sequential bound 0.020 - 0.015,-0.008,0.0,10,pos_mae,8,0.0,-0.11111111111111072,0.22222222222222232
sequential bound 0.020 - 0.015,-0.008,0.0,10,pos_max,8,0.0,-1.0,0.0
sequential bound 0.020 - 0.015,-0.008,0.0,10,seam_true,8,3.9027446257339747e-07,-7.805489251472286e-09,6.917410159713866e-07
sequential bound 0.020 - 0.015,-0.008,0.0,10,seam_est,8,-8.249422101224606e-05,-0.00035132861040346685,3.1626882284960245e-09
sequential bound 0.020 - 0.015,-0.008,0.0,10,psnr,8,-4.669433424808744e-06,-0.23831792334929958,0.3095431501510575
sequential bound 0.020 - 0.015,-0.008,0.0,10,ssim,8,-3.12526380885636e-08,-0.000868317159285259,0.0007670433816078237
sequential bound 0.020 - 0.015,-0.008,0.0,10,ncc,8,-5.7568511402372735e-08,-0.0014772268014495715,0.0012287425905952443
sequential bound 0.020 - 0.015,-0.008,0.0,10,mse,8,3.7756601438159123,-86994.39074377366,71003.81225909339
sequential bound 0.020 - 0.015,-0.008,0.0,10,coverage_fraction,8,0.0,-0.00013355408134363422,0.00024897474216001303
sequential bound 0.020 - 0.015,-0.008,0.0,10,distortion_psnr,8,-0.0006275325327109726,-0.0010330190005092277,1.2163547268073671e-05
sequential bound 0.020 - 0.015,-0.008,0.0,10,distortion_ssim,8,-2.1656356108401553e-07,-4.6416275034655285e-07,1.162730378645449e-08
sequential bound 0.020 - 0.015,-0.008,0.0,10,distortion_ncc,8,-8.7688274308384e-08,-1.2422883666207696e-07,4.29401869617152e-09
sequential bound 0.020 - 0.015,-0.008,0.0,10,distortion_mse,8,4.969259431285536,-0.3037537187919952,8.775377560123161
sequential bound 0.020 - 0.015,-0.008,0.0,10,distortion_coverage_fraction,8,0.0,0.0,0.0
sequential bound 0.020 - 0.015,-0.008,0.0,10,time_s,8,-357.855,-408.285,-303.5
sequential bound 0.020 - 0.015,-0.008,0.0,10,iterations,8,0.0,0.0,0.0
sequential bound 0.020 - 0.015,0.008,0.0,0,k1_err,4,-1.9372519989395431e-07,-9.049387673341902e-07,1.9159059059560557e-07
sequential bound 0.020 - 0.015,0.008,0.0,0,k1_signed,4,1.9372519989395431e-07,-1.9159059059560557e-07,9.049387673341902e-07
sequential bound 0.020 - 0.015,0.008,0.0,0,pos_rmse,4,-0.029182827787309407,-0.5263840247101417,0.18524294957692078
sequential bound 0.020 - 0.015,0.008,0.0,0,pos_mae,4,-0.02777777777777768,-0.33333333333333304,0.11111111111111072
sequential bound 0.020 - 0.015,0.008,0.0,0,pos_max,4,0.0,0.0,0.0
sequential bound 0.020 - 0.015,0.008,0.0,0,seam_true,4,-1.4633927750444184e-07,-1.0481189133340618e-06,1.6162275296317113e-07
sequential bound 0.020 - 0.015,0.008,0.0,0,seam_est,4,1.1745848131579904e-05,-6.822283747429927e-05,0.0002781997591609006
sequential bound 0.020 - 0.015,0.008,0.0,0,psnr,4,0.02816935019597011,-0.13074808797917825,0.4014703016608152
sequential bound 0.020 - 0.015,0.008,0.0,0,ssim,4,6.976662092339492e-05,-0.0005804804464647484,0.001035081849790287
sequential bound 0.020 - 0.015,0.008,0.0,0,ncc,4,0.00012746074330760582,-0.000845641354492277,0.001102750714495282
sequential bound 0.020 - 0.015,0.008,0.0,0,mse,4,-6130.932611299562,-78377.53176731523,54936.44179769652
sequential bound 0.020 - 0.015,0.008,0.0,0,coverage_fraction,4,0.0,0.0,0.0
sequential bound 0.020 - 0.015,0.008,0.0,0,distortion_psnr,4,0.0002570743064183034,-0.00026275707185874353,0.001186239533240041
sequential bound 0.020 - 0.015,0.008,0.0,0,distortion_ssim,4,9.851572524421925e-08,-2.528259266387778e-07,5.09514661461985e-07
sequential bound 0.020 - 0.015,0.008,0.0,0,distortion_ncc,4,2.9477120910836874e-08,-9.128083466869441e-08,1.9877971058068766e-07
sequential bound 0.020 - 0.015,0.008,0.0,0,distortion_mse,4,-1.8537808982327988,-12.977869644382736,6.398774272529408
sequential bound 0.020 - 0.015,0.008,0.0,0,distortion_coverage_fraction,4,0.0,0.0,0.0
sequential bound 0.020 - 0.015,0.008,0.0,0,time_s,4,-278.61,-381.48999999999995,-95.21999999999997
sequential bound 0.020 - 0.015,0.008,0.0,0,iterations,4,0.0,0.0,0.0
sequential bound 0.020 - 0.015,0.008,0.0,10,k1_err,8,3.012693976798056e-08,-4.381979326929797e-07,9.79381964784365e-07
sequential bound 0.020 - 0.015,0.008,0.0,10,k1_signed,8,-3.012693976798056e-08,-9.79381964784365e-07,4.381979326929797e-07
sequential bound 0.020 - 0.015,0.008,0.0,10,pos_rmse,8,-0.03644209815891131,-0.05836565557461881,0.0
sequential bound 0.020 - 0.015,0.008,0.0,10,pos_mae,8,0.0,-0.05555555555555536,0.0
sequential bound 0.020 - 0.015,0.008,0.0,10,pos_max,8,0.0,-1.0,0.0
sequential bound 0.020 - 0.015,0.008,0.0,10,seam_true,8,3.9054738178254805e-08,-4.993329767305488e-07,8.283097859508246e-07
sequential bound 0.020 - 0.015,0.008,0.0,10,seam_est,8,-4.954074283355231e-08,-6.898322450467451e-05,2.354123700599336e-05
sequential bound 0.020 - 0.015,0.008,0.0,10,psnr,8,0.05635804206816175,-1.934167622152927e-05,0.20298784720872476
sequential bound 0.020 - 0.015,0.008,0.0,10,ssim,8,0.0001396421658989011,-1.0892405211126999e-07,0.0002765600807004276
sequential bound 0.020 - 0.015,0.008,0.0,10,ncc,8,0.0002549962983691145,-7.481175390289252e-08,0.0006009187965890783
sequential bound 0.020 - 0.015,0.008,0.0,10,mse,8,-12267.016976582352,-42466.66897027963,5.151753983227536
sequential bound 0.020 - 0.015,0.008,0.0,10,coverage_fraction,8,0.0,0.0,0.0
sequential bound 0.020 - 0.015,0.008,0.0,10,distortion_psnr,8,-3.69201320076229e-05,-0.001275526718046649,0.0005441744495300327
sequential bound 0.020 - 0.015,0.008,0.0,10,distortion_ssim,8,-1.0026201652246769e-07,-5.536579359421978e-07,2.3818244354600893e-07
sequential bound 0.020 - 0.015,0.008,0.0,10,distortion_ncc,8,-3.5297285538860024e-08,-1.4675322645985034e-07,9.882243690029213e-08
sequential bound 0.020 - 0.015,0.008,0.0,10,distortion_mse,8,2.702008386964735,-6.450879073330725,10.397289814587566
sequential bound 0.020 - 0.015,0.008,0.0,10,distortion_coverage_fraction,8,0.0,0.0,0.0
sequential bound 0.020 - 0.015,0.008,0.0,10,time_s,8,-328.08500000000004,-396.52,-200.45999999999998
sequential bound 0.020 - 0.015,0.008,0.0,10,iterations,8,0.0,0.0,0.0
